ID,accepted
96000,0.0
96001,1.0
96002,0.0
96003,1.0
96004,0.0
96005,0.0
96006,0.0
96007,0.0
96008,0.0
96009,0.0
96010,0.0
96011,0.0
96012,0.0
96013,0.0
96014,0.0
96015,0.0
96016,0.0
96017,1.0
96018,0.0
96019,1.0
96020,0.0
96021,0.0
96022,0.0
96023,0.0
96024,1.0
96025,0.0
96026,0.0
96027,1.0
96028,0.0
96029,1.0
96030,0.0
96031,0.0
96032,0.0
96033,1.0
96034,0.0
96035,0.0
96036,1.0
96037,1.0
96038,0.0
96039,0.0
96040,1.0
96041,0.0
96042,0.0
96043,0.0
96044,0.0
96045,0.0
96046,0.0
96047,0.0
96048,1.0
96049,0.0
96050,0.0
96051,1.0
96052,0.0
96053,0.0
96054,0.0
96055,0.0
96056,0.0
96057,0.0
96058,0.0
96059,0.0
96060,1.0
96061,0.0
96062,0.0
96063,0.0
96064,0.0
96065,0.0
96066,0.0
96067,0.0
96068,1.0
96069,1.0
96070,0.0
96071,1.0
96072,1.0
96073,0.0
96074,1.0
96075,0.0
96076,0.0
96077,0.0
96078,0.0
96079,0.0
96080,1.0
96081,0.0
96082,0.0
96083,0.0
96084,0.0
96085,0.0
96086,0.0
96087,1.0
96088,0.0
96089,0.0
96090,0.0
96091,0.0
96092,0.0
96093,0.0
96094,0.0
96095,1.0
96096,0.0
96097,0.0
96098,0.0
96099,0.0
96100,1.0
96101,0.0
96102,0.0
96103,1.0
96104,0.0
96105,0.0
96106,0.0
96107,1.0
96108,0.0
96109,0.0
96110,0.0
96111,0.0
96112,0.0
96113,1.0
96114,0.0
96115,1.0
96116,0.0
96117,1.0
96118,0.0
96119,1.0
96120,0.0
96121,1.0
96122,0.0
96123,0.0
96124,0.0
96125,1.0
96126,0.0
96127,1.0
96128,1.0
96129,1.0
96130,0.0
96131,1.0
96132,0.0
96133,0.0
96134,0.0
96135,1.0
96136,0.0
96137,0.0
96138,0.0
96139,0.0
96140,0.0
96141,0.0
96142,0.0
96143,0.0
96144,0.0
96145,1.0
96146,0.0
96147,0.0
96148,0.0
96149,0.0
96150,0.0
96151,0.0
96152,0.0
96153,0.0
96154,0.0
96155,0.0
96156,0.0
96157,0.0
96158,1.0
96159,0.0
96160,0.0
96161,0.0
96162,1.0
96163,0.0
96164,0.0
96165,0.0
96166,1.0
96167,0.0
96168,1.0
96169,0.0
96170,1.0
96171,0.0
96172,0.0
96173,0.0
96174,0.0
96175,0.0
96176,1.0
96177,0.0
96178,0.0
96179,0.0
96180,0.0
96181,1.0
96182,0.0
96183,0.0
96184,0.0
96185,0.0
96186,1.0
96187,0.0
96188,0.0
96189,0.0
96190,0.0
96191,1.0
96192,0.0
96193,0.0
96194,1.0
96195,1.0
96196,1.0
96197,1.0
96198,0.0
96199,1.0
96200,0.0
96201,0.0
96202,1.0
96203,0.0
96204,1.0
96205,0.0
96206,1.0
96207,0.0
96208,0.0
96209,0.0
96210,0.0
96211,0.0
96212,0.0
96213,1.0
96214,0.0
96215,0.0
96216,0.0
96217,1.0
96218,0.0
96219,0.0
96220,1.0
96221,0.0
96222,0.0
96223,0.0
96224,0.0
96225,0.0
96226,0.0
96227,0.0
96228,0.0
96229,0.0
96230,1.0
96231,0.0
96232,0.0
96233,0.0
96234,0.0
96235,0.0
96236,1.0
96237,0.0
96238,1.0
96239,1.0
96240,0.0
96241,1.0
96242,0.0
96243,0.0
96244,0.0
96245,0.0
96246,0.0
96247,0.0
96248,0.0
96249,0.0
96250,0.0
96251,0.0
96252,0.0
96253,0.0
96254,0.0
96255,0.0
96256,0.0
96257,0.0
96258,0.0
96259,0.0
96260,1.0
96261,1.0
96262,0.0
96263,0.0
96264,1.0
96265,0.0
96266,0.0
96267,0.0
96268,0.0
96269,0.0
96270,0.0
96271,0.0
96272,1.0
96273,0.0
96274,0.0
96275,1.0
96276,0.0
96277,0.0
96278,0.0
96279,0.0
96280,0.0
96281,0.0
96282,0.0
96283,0.0
96284,0.0
96285,0.0
96286,0.0
96287,0.0
96288,0.0
96289,1.0
96290,1.0
96291,0.0
96292,0.0
96293,1.0
96294,0.0
96295,0.0
96296,1.0
96297,0.0
96298,0.0
96299,0.0
96300,0.0
